campaign_name,start_date,end_date,budget,roi,type,target_audience,channel,conversion_rate,revenue,net_profit,mes_inicio,mes_fin,año_inicio,año_fin,trimestre_inicio,trimestre_fin,roi_category,conversion_rate_category,performance_category,cost_per_conversion
Public-key multi-tasking throughput,2023-04-01,2024-02-23,8082.3,0.35,email,B2B,organic,0.4,709593.48,701511.1799999999,4,2,2023,2024,2,1,Medio,Medio,Bueno,20205.75
De-engineered analyzing task-force,2023-02-15,2024-04-22,17712.98,0.74,email,B2C,promotion,0.66,516609.1,498896.12,2,4,2023,2024,1,2,Alto,Alto,Excelente,26837.848484848484
Balanced solution-oriented Local Area Network,2022-12-20,2023-10-11,84643.1,0.37,podcast,B2B,paid,0.28,458227.42,373584.31999999995,12,10,2022,2023,4,4,Medio,Bajo,Regular,302296.7857142857
Distributed real-time methodology,2022-09-26,2023-09-27,14589.75,0.47,webinar,B2B,organic,0.19,89958.73,75368.98,9,9,2022,2023,3,3,Medio,Bajo,Regular,76788.15789473684
Front-line executive infrastructure,2023-07-07,2024-05-15,39291.9,0.3,social media,B2B,promotion,0.81,47511.35,8219.449999999997,7,5,2023,2024,3,2,Bajo,Alto,Regular,48508.51851851852
Upgradable transitional data-warehouse,2023-06-29,2023-12-13,75569.28,0.59,social media,B2C,referral,0.67,558302.11,482732.82999999996,6,12,2023,2023,2,4,Medio,Alto,Bueno,112789.97014925373
Innovative context-sensitive framework,2023-03-01,2024-02-23,28964.45,0.59,email,B2C,referral,0.17,172882.59,143918.13999999998,3,2,2023,2024,1,1,Medio,Bajo,Regular,170379.11764705883
User-friendly client-driven service-desk,2023-01-06,2023-12-11,36800.58,0.4,webinar,B2C,promotion,0.52,206241.46,169440.88,1,12,2023,2023,1,4,Medio,Medio,Bueno,70770.34615384616
Proactive neutral methodology,2022-09-06,2024-01-11,40493.88,0.16,webinar,B2C,organic,0.47,734755.76,694261.88,9,1,2022,2024,3,1,Bajo,Medio,Regular,86157.1914893617
Intuitive responsive support,2022-11-25,2024-04-04,1816.22,0.81,social media,B2C,referral,0.85,563280.3,561464.0800000001,11,4,2022,2024,4,2,Alto,Alto,Excelente,2136.729411764706
